"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"269","R150-AR0511PLO","BARRA TELESCOPICA IZQUIERDA","","","50","50","16.64","",""
"272","R150-AR0515","CAMANDO DERECHO ARMY","","","60","60","","",""
"274","R150-AR0605","AMORTIGUADOR ARMY","","","50","50","19.2","",""
"277","R150-AR0702","ARO DE RUEDA POSTERIOR     17 x  2.15","","","20","20","24.96","",""
"279","R150-AR0707","EJE DE REUEDA DELANTERO","","","30","30","0.42","",""
"282","R150-AR0901","CABEZOTE COMPLETO S/CANISTER","","","30","30","11.8","",""
"284","R150-FR0120","CARBURADOR  175CC","","","30","30","17.85","",""
"287","R150-FR0201","BARRA TELESCOPICA DERECHA","","","40","40","11.26","",""
"289","R150-FR0203","AMORTIGUADOR  (JUEGO)","","","30","30","26.2","",""
"292","R150-FR0209GRI","SOPORTE DE MOTOR","","","10","10","17.76","",""
"294","R150-FR0211","CABLE DE FRENO POSTERIOR","","","120","120","1.28","",""
"297","R150-FR0223","DISCO DE FRENO","","","30","30","3.84","",""
"299","R150-FR0234","KIT DE TRANSMISION DELANTERA","","","70","70","9.67","",""
"302","R150-FR0237NEG","MANUBRIO DE ACELERACION","","","150","150","1.53","",""
"304","R150-FR0238","KIT DE PISTAS DEL TREN DELANTERO","","","50","50","3.07","",""
"307","R150-FR0310","BOBINA DE MOTOR 8POLARES,5CABLE,2HUECOS","","","30","30","5.33","",""
"309","R150-FR0312","FLASH","","","30","30","0.49","",""
"312","R150-FR0408","PORTA OBJETO","","","5","5","4.61","",""
"314","R150-FR0422","TUBO DE ESCAPE C/DECORATIVO NEW","","","60","60","18.43","",""
"317","R150-FR0512","LUZ DE STOP","","","50","50","5.79","",""
"319","R150-FR0515","DIRECCIONAL POSTERIOR","","","80","80","4.84","",""
"322","R150-FR0519","RETROVISORES JUEGO","","","100","100","2.75","",""
"324","R150-FR0521","SOPORTE DE FARO","","","50","50","1.28","",""
